City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,kiruna,67.8557,20.2251,15.51,67,75,1.54,SE,1690386682
83,aasiaat,68.7098,-52.8699,3.39,86,52,3.78,GL,1690386937
84,dazuocun,24.8862,118.9643,28.32,86,100,17.78,CN,1690386937
85,invercargill,-46.4,168.35,5.61,89,94,12.37,NZ,1690386937
86,calvinia,-31.4707,19.776,9.29,80,79,2.71,ZA,1690386938
87,ukholovo,53.7929,40.4892,26.01,59,61,6.42,RU,1690386938
88,talnakh,69.4865,88.3972,22.34,58,62,1.31,RU,1690386938
89,akureyri,65.6835,-18.0878,11.96,66,75,4.12,IS,1690386902
90,guiuan,11.0333,125.7247,28.52,79,100,8.47,PH,1690386938
91,mizan teferi,6.9833,35.5833,17.35,96,100,0.88,ET,1690386938
92,balykshi,47.0667,51.8667,32.0,31,0,4.0,KZ,1690386938
93,klyuchi,52.2667,79.1667,23.01,38,80,2.78,RU,1690386939
94,ilagan,17.1485,121.8892,28.15,62,100,8.09,PH,1690386939
95,iqaluit,63.7506,-68.5145,7.85,81,75,2.57,CA,1690386939
96,lushun,38.8,121.2667,27.12,86,100,3.15,CN,1690386939
97,pangody,65.85,74.4859,21.34,69,35,2.91,RU,1690386940
98,cassia,-20.5831,-46.9219,28.73,24,0,1.03,BR,1690386940
99,cabo san lucas,22.8909,-109.9124,32.01,63,95,0.89,MX,1690386921
100,ilulissat,69.2167,-51.1,7.01,81,20,3.09,GL,1690386940
101,bilibino,68.0546,166.4372,6.48,85,71,1.38,RU,1690386941
102,acarau,-2.8856,-40.12,31.65,49,6,8.35,BR,1690386941
103,alaminos,14.0639,121.2465,26.27,94,100,3.77,PH,1690386941
104,pagar alam,-4.0167,103.2667,20.59,98,91,1.54,ID,1690386941
105,st. john's,47.5649,-52.7093,29.6,51,75,6.69,CA,1690386942
106,sinabang,2.4803,96.3801,27.0,81,77,1.91,ID,1690386942
107,coquimbo,-29.9533,-71.3436,14.85,82,20,5.66,CL,1690386942
108,nishinoomote,30.7333,131.0,27.57,86,88,4.43,JP,1690386942
109,antonio enes,-16.2325,39.9086,21.93,69,23,4.1,MZ,1690386942
110,chegdomyn,51.1167,133.0167,16.01,97,42,0.44,RU,1690386943
111,katsuren-haebaru,26.3369,127.8719,29.43,87,100,6.17,JP,1690386943
112,rusape,-18.5278,32.1284,14.04,68,54,2.25,ZW,1690386943
113,vadso,70.0744,29.7487,11.49,93,100,1.54,NO,1690386943
114,santa marta,11.2408,-74.199,31.05,73,20,4.12,CO,1690386943
115,la ronge,55.1001,-105.2842,17.14,67,100,4.63,CA,1690386944
116,wailua homesteads,22.0669,-159.378,25.44,89,100,7.72,US,1690386944
117,machico,32.7,-16.7667,26.11,69,40,6.17,PT,1690386944
118,lezoux,45.8269,3.3792,22.79,46,100,5.14,FR,1690386944
119,vishnevogorsk,55.9913,60.6579,19.32,78,98,2.43,RU,1690386944
120,georgetown,5.4112,100.3354,28.97,86,20,1.03,MY,1690386726
121,arivonimamo,-19.0167,47.1833,13.03,79,0,4.8,MG,1690386944
122,port moresby,-9.4431,147.1797,24.68,83,40,3.6,PG,1690386945
123,northam,51.0333,-4.2167,17.59,97,100,7.25,GB,1690386945
124,antsohihy,-14.8796,47.9875,25.4,47,7,4.7,MG,1690386945
125,badger,64.8,-147.5333,19.34,85,75,2.06,US,1690386723
126,vilyuchinsk,52.9306,158.4028,13.15,85,78,1.07,RU,1690386945
127,phan rang-thap cham,11.5667,108.9833,26.47,81,100,2.3,VN,1690386945
128,yellowknife,62.456,-114.3525,20.31,49,75,6.17,CA,1690386945
129,ust-nera,64.5667,143.2,11.06,94,84,3.59,RU,1690386946
130,renala khurd,30.8833,73.6,29.38,77,86,5.15,PK,1690386946
131,ust-tsilma,65.441,52.1498,18.72,70,72,1.55,RU,1690386946
132,kyparissia,37.2511,21.6736,33.15,67,4,2.18,GR,1690386946
133,lebu,-37.6167,-73.65,9.23,81,100,2.76,CL,1690386946
134,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,100,0,2.0,RU,1690386946
135,lompoc,34.6391,-120.4579,20.08,100,75,0.0,US,1690386947
136,hasaki,35.7333,140.8333,26.28,87,12,3.47,JP,1690386947
137,mount gambier,-37.8333,140.7667,7.03,86,36,3.7,AU,1690386947
138,punta arenas,-53.15,-70.9167,2.32,69,44,6.46,CL,1690386947
139,tura,25.5198,90.2201,24.38,94,100,2.48,IN,1690386947
140,ceres,37.5949,-120.9577,27.9,51,0,3.09,US,1690386947
141,santana,-0.0583,-51.1817,32.1,70,40,5.66,BR,1690386721
142,susuman,62.7833,148.1667,11.32,85,100,1.97,RU,1690386947
143,hadibu,12.65,54.0333,25.33,76,33,9.3,YE,1690386948
144,calella,41.618,2.6678,27.41,60,69,4.26,ES,1690386773
145,egilsstadir,65.2653,-14.3948,9.95,71,75,6.69,IS,1690386948
146,twon-brass,4.3151,6.2418,26.37,83,87,5.51,NG,1690386875
147,rikaze,29.25,88.8833,13.65,69,100,2.82,CN,1690386948
148,sao joao da barra,-21.6403,-41.0511,25.05,77,91,7.34,BR,1690386948
149,port alfred,-33.5906,26.891,17.88,59,41,5.15,ZA,1690386948
150,kapuskasing,49.4169,-82.4331,18.05,77,100,2.06,CA,1690386949
151,cartagena del chaira,1.3349,-74.8429,31.74,52,25,0.19,CO,1690386949
152,yarmouth,41.7057,-70.2286,30.9,66,20,5.66,US,1690386713
153,pacocha,-17.5833,-71.3333,18.08,77,100,1.54,PE,1690386949
154,n'zeto,-7.2312,12.8666,23.02,75,1,4.01,AO,1690386949
155,motygino,58.1831,94.7592,16.26,97,96,1.05,RU,1690386949
156,kupang,-10.1667,123.5833,22.69,74,9,5.22,ID,1690386950
157,hugo,45.16,-92.9933,27.69,79,0,3.09,US,1690386919
158,kourou,5.1552,-52.6478,30.03,66,11,3.29,GF,1690386950
159,mont-roig del camp,41.75,1.1833,30.62,24,0,3.1,ES,1690386950
160,quellon,-43.1167,-73.6167,8.14,81,75,1.54,CL,1690386950
161,homer,59.6425,-151.5483,16.69,87,0,0.0,US,1690386950
162,kruisfontein,-34.0033,24.7314,14.94,58,95,0.93,ZA,1690386951
163,fortaleza,-3.7227,-38.5247,31.07,51,20,10.29,BR,1690386951
164,anloga,5.7947,0.8973,26.09,84,63,6.42,GH,1690386951
165,zaysan,47.4667,84.8667,25.5,24,80,2.55,KZ,1690386951
166,dryden,49.7833,-92.7503,22.16,83,0,4.12,CA,1690386951
167,trincomalee,8.5711,81.2335,28.27,70,100,8.1,LK,1690386951
168,kipushi,-11.7667,27.2333,20.63,32,0,2.11,CD,1690386952
169,acapulco de juarez,16.8634,-99.8901,31.41,56,76,1.23,MX,1690386710
170,gorontalo,0.5412,123.0595,24.44,93,76,2.55,ID,1690386952
171,cobram,-35.9167,145.65,5.3,92,0,2.5,AU,1690386952
172,ocean shores,46.9737,-124.1563,17.23,85,75,2.06,US,1690386952
173,margaret river,-33.95,115.0667,12.42,82,100,10.04,AU,1690386953
174,sao miguel do araguaia,-13.275,-50.1628,34.76,19,0,3.2,BR,1690386953
175,kavaratti,10.5669,72.642,28.28,76,100,6.17,IN,1690386953
176,antsiranana,-12.2787,49.2917,24.42,69,40,7.2,MG,1690386953
177,ubari,26.5921,12.7805,41.44,5,1,5.49,LY,1690386953
178,caconda,-13.7333,15.0667,26.75,14,0,1.21,AO,1690386953
179,puerto baquerizo moreno,-0.9,-89.6,25.55,83,40,5.14,EC,1690386954
180,veinticinco de mayo,-35.4323,-60.1727,16.66,42,0,2.24,AR,1690386955
181,bangar,16.8936,120.4243,25.54,91,100,5.51,PH,1690386955
182,port lincoln,-34.7333,135.8667,12.25,56,0,4.55,AU,1690386711
183,papatowai,-46.5619,169.4708,4.47,95,100,10.42,NZ,1690386955
184,nova sintra,14.8667,-24.7167,23.07,84,100,4.37,CV,1690386955
185,tonekabon,36.8163,50.8738,25.97,80,48,0.93,IR,1690386956
186,setubal,38.5244,-8.8882,30.94,35,0,5.67,PT,1690386956
187,poronaysk,49.2167,143.1167,15.09,99,98,1.77,RU,1690386956
188,saipan,15.1355,145.701,27.39,100,75,9.77,MP,1690386956
189,kayenta,36.7278,-110.2546,30.51,22,0,0.47,US,1690386956
190,jumla,29.2747,82.1838,17.3,96,100,0.4,NP,1690386956
191,enewetak,11.3474,162.3373,28.12,79,97,7.06,MH,1690386956
